,text,given_label,suggested_label
23,"I&#39;m upgrading this year from an S20 plus after the most recent update probably broke my screen with a green line. I was torn between the S23U, fhe S24U snd the Pixel 8 Pro so this video really helped me lock down my decision to get the S23U. Thanks!",positive,positive
24,There&#39;s settings in the camera app that lets you put processing over shutter speed as priority or vice versa,neutral,positive
25,"The S Pen has been around since the 1st note.  Saying it debuted with the S22U is misleading to say the least as a name change doesn&#39;t remove the fact that todays ultra device is nothing more than a rebadged Note device.  Regardless, Note/ Ultra devices have consistently been the best devices out since the Note 10 era if you prefer productivity over bubble color.",positive,positive
26,"I just pulled the trigger on the S24 Ultra !  I have my NOTE 8 since the first day, August 23rd, 2017 !  Everyone is telling me that I am making a &quot;monumental&quot; upgrade going from a NOTE 8 to a S24 Ultra !?",positive,positive
27,"2nd! I order the Titanium Black 1TB, cancelled my order. Then ordered the Titanium Gray 1TB 😁",negative,neutral
28,"Why were you testing a 5x zoom lens against at 10x zoom lens at 5x. It won&#39;t even be using the 10x lens on the S23 Ultra at 5x, it will be using digital zoom on the main lens.",positive,positive
29,Mine will be arriving today!,neutral,neutral
30,"Well worth the pricing for the S24 ultra. Samsung has alway had an amazing trade in policy, which makes it well worth it. The features you cannot beat compare. Yes, maybe with the next update there will be more AI features. Samsung listens to their consumers. Happy that it is a flat screen this time around!! Can’t wait to find out more from Samsung.",positive,positive
31,"I thought it was a good idea to upgrade because i had the S23 u 500 gb with only 100 gb left and the 1TB S24 U was on $600 after trade in and i got a free pair of Buds 2 pro. Now that i have it im SUPER happy i upgraded, its NIIIIICE! 🤩",positive,positive
32,What about sound quality of s24 ultra. Even my s22 ultra is louder than s24 ultra. Is there anyone facing the same issue or my s24 ultra has some issue,positive,positive
33,"I purchased the s24 ultra last week, I have sold my iphone 15 pro max and apple watch ultra. I was stuck in the apple eco system but have now escaped I still have my m3 mac and ipad pro. the samsung phone has so many more feature and way more custimisable glad I made the move !",positive,positive
34,"The S23 Ultra is the best Android phone released this year.The Samsung folding phones may look cool, but if you keep a phone for 2/3 years would they survive general wear and tear? At the end of the day the Ultra has much better cameras and the brilliant S Pen built <a href=""http://in.plus/"">in.Plus</a> no crease in the middle of a great screen.",positive,positive
35,Nice review.  Brought up a lot of good points that I haven&#39;t seen it brought up elsewhere!,positive,positive
36,"For anybody that&#39;s thinking about the S24 Ultra, there is a display issue going on. It&#39;s dull and looks washed out.  I just got mine yesterday and i upgraded from the S21 Ultra and the S21 ultra screen looked a million times better! There&#39;s speculation there is an &quot;update&quot; coming Jan 31st but we&#39;ll see.  I&#39;ll hold off on getting the 24U  until it&#39;s fixed because it&#39;s depressing looking at the screen at times when my 21U looks flawless! If they don&#39;t fix this issue, I&#39;ll be getting the 23U also",positive,positive
37,"Samsung only did one thing that the people asked for, which was to make the ultra with a flat screen, but didn&#39;t make the selfie camera hidden under the display along with making the screen a 144hz refresh rate and giving it a 16 gig ram. I mean, even the s21 ultra came with 16 gig ram and were in 2024 it should DEFINITELY automatically come with a 16 gig ram. They also are going backward in charging capabilities. It should come with 65w fast charging automatically. For the price, it&#39;s just unnecessary.",negative,positive
38,"screen test, very faint scratches at level 7, real scratch at level 8 and deep scratch at level 9, almost sapphire level!!!!<br>durability is really better than 15PM, TESTED!<br><br>please everyone, display tuning, camera updates and more will continue to come. please be patient",positive,positive
39,"hands down THE best and most HONEST comparison review yet! I feel like the TOP tech Youtubers are now a SELL OUT pushing the new S24U and not showing any honest downsides of the phone including  MKBHD and WhosMrBoss!<br>I sold off my S22U to prep up n buy the S24u I&#39;m glad it wasn&#39;t available till now on prebooking! I moved to Iphone 15pro max for the time being! and as a major content consumer like  YT, Netflix and Twitch on my phone I HATED Iphones display and dull colors! literally ZERO vibrancy, so I decided to move back to Samsung n planned to buy S24u NOT until I saw this review about the new Armor glass and how it kills vibrancy, this is a MAJOR deal for me to have good colors which is why I missed Super amoled! Now I will be switching back to S23U and saving some money! <br>AGIAN THANK YOU for this Honest review! @Matthew",positive,positive
40,Did the S24 Ultra already got the camera update??,neutral,neutral
41,It&#39;s so hard to get a real review because everyone is a Samsung affiliate now. I appreciate this one.,negative,positive
42,Thanks for watching! Make sure to thumbs up the video if you want me to compare this camera to the iPhone and Leica sl2.,positive,positive
43,Watching this on my S24 Ultra,neutral,neutral
44,Bro don’t do this to me lol. I wouldn’t mind having an android phone over an iPhone at this point. But I’m too invested in the apple ecosystem. 😢 lol,positive,negative
45,"Is this a worthy upgrade from s21 ultra?  My main reason for upgrading is a flat screen.  S21 is still a beast but I really dont like its curved edges.  But I mean other than that, is it worth it?",positive,positive
46,Got mine 2 days ago the camera is just mind blowing.,neutral,positive
47,Awesome video! One thing i noticed: the blurry photos of slightly moving animals etc dont cone from shutter lag. Yes the phone has shutter lag but that means the photo is taken slighty later then the moment you actually press the shutter button- nevertheless the picture shouldnt be blurry. The bluriness comes from Samsungs bad algorithm not noticing a moving Objekct and therefore not using fast enough shutter speed on the picture,positive,positive
48,Went to Samsung store and compared my S23 ultra with S24 ultra.<br>1. Didn&#39;t find the screen as smooth and attractive as s23 ultra<br>2. Somehow I like the curve in s23 ultra as it gives smooth gesture swiping feeling when using back swipe. No swipe back in Iphone so flat screen makes no difference there<br>3. 10x was ok but 100x was really bad in s24 ultra when compared with s23 ultra.<br>4. AI is all gimmick which I personally think is in its nascent stage and people may not be using it. future may be different.<br>but yes the interface seemed smooth in S24 display piece.,positive,positive
49,I normally dislike purple/violet but think the Titanium Violet looks pretty great with the contrasting titanium sides. It looks a bit like midnight blue to me.,positive,positive
50,"After owning the S22 Ultra with its sub-par battery life, I welcome this new update with open arms as the S24 Ultra&#39;s battery performance ever so improved from the S23 Ultra, from what I&#39;ve seen.",positive,positive
51,"Huge display issues, a lot of greyish. Night pictures are bad too. Staying with my 23Ultra",negative,negative
52,I just don&#39;t understand why the ultra didn&#39;t have the same exact body as the 24 and s24 plus 😭😭.. Literally had to go s24 plus because of the body alone. I have a s22 ultra and i love it but the corners poke to much and i always hated the corners. I was literally going to buy an iphone for the very first time due to the comfortability and thank God sammy made a phone with iphone body which i love alot.,positive,positive
53,Great video. And you brought up great points about the shutter lag with camera. It&#39;s been an issue for a long time.,positive,positive
54,"I have a question if anybody can answer it, I would greatly appreciate it.  I have the Samsung Galaxy Note 10+.  I love the Note, but I would like to upgrade to the Samsung Galaxy S24 Ultra.  I bought the Note 10+ in 2019. I am trading it in for the S24 Ultra.  Is it worth upgrading.  What&#39;s your opinion?",positive,positive
55,"Thank you for the caveat at the beginning about not missing out by not upgrading to the newest phone.  So many videos are created in such a way as to create anxiety in people about their current phone and wanting the new one, especially younger people.  I hate that about some tech reviews.  So it&#39;s nice to hear an influential reviewer say something different and a little more sensible.",positive,positive
56,Watching on my S24 Ulra Blue special edition❤,positive,positive
57,That translation is dope<br>But that call screening from Google is top tier hard to beat that,positive,negative
58,"My 6.9” S20 Ultra still works like a charm. Not seeing enough reasons to upgrade. And really like my other phone, the iPhone 13 Pro Max.",positive,positive
59,"First, and my S24 ultra is arriving today!!!",positive,neutral
60,People should just buy the s23 ultra because it&#39;s pretty much the same and cheaper. But the vibration is weak compared to the s21 ultra. The s24 is not any better than the s23 ultra.,positive,positive
61,"I really like my S24 Ultra, I have had Samsung&#39;s all my life save on old old Iphone. from a Note 20 Ultra to the S24 Ultra it is a massive upgrade, there are some launch day quirks but it seems that it gets better every day. especially the camera. oh and Ultraman",positive,positive
62,You truly have the best review videos. I was an avid Samsung user until 2019 and have used an iPhone since 2019. Might switch to s24 Ultra. <br><br>Love from Korea.,positive,positive
63,I will not be watching this. This guy has always been Iphone fan. I find his Reviews more like a discreet advertisement for the iPhone. The iPhone is not the best phone and has not been for many years. How ever apple are the best sales team in the world . USA are the best in world when it comes to sales and advertising.  Look coco cola hamburger  junk. If you want the best designers in the world you go to Italy Lamborghini Maserati Ferrari if you want the best engineers in the world you got a Germany. After all the germans put the first man on the moon in the 60s and Americans paid for it.😂,positive,positive
64,"the problem with samsung is not their phones, its their community, as an iphone user i agree that the apple community is also toxic, but the samsung community is always starting phone fights, when its very useless.",negative,positive
65,"Okay, so you&#39;re obviously an iPhone user. The iPhone has been the same for how many years with little updates. The iPhone is trash it doesn&#39;t even have REAL MULTITASKING. come on CNET, I expect better than this.",positive,positive
66,Thanks for the thorough review! I&#39;m upgrading from an S22 Ultra so I think it&#39;s going to rock!,positive,positive
67,I’m on the fence because I just got it and I really hate the colors of the display. Not sure if I want to keep it. It should be better in every way than the previous year. We shouldn’t have to compensate for a $1500 phone. I’m liking my 23 better at this point.,negative,positive
68,The s pen was on the notes,neutral,negative
69,"i use my S22U for building inspections, and like the 10x zoom to shoot small details of things far out of reach. i think i&#39;ll miss not having a 10x zoom.",negative,positive
70,"You failed to mention the new Gorilla Armor Screen, and the lower reflectivity that comes with it. Uncomplete review",negative,neutral
71,The Best Ultra Device with Best Ultra Experience!!! 👍🏻😃👍🏻,positive,positive
72,"Samsung paid a lot to youtubers to repeat the same stupid script of AI, the phone apparently is a flop and a replica of last year&#39;s phone, and they are trying to push it again with the stupid AI propaganda and Samy won&#39;t sell as much as they want this year.",negative,positive
73,I just got my s24 ultra a few days ago and I am happy that I can take nicer pictures. I sold my camera a while back and I wasn&#39;t taking pictures but at least now I can take some cool shots until I get another camera.,positive,positive
74,Upgraded from S22 Ultra and cannot wait to setup this phone tomorrow!,neutral,positive
75,The S23 Ultra is noticeably better at zooms and videos.,positive,positive
76,Gotta say that the charge times and battery last time in Samsung really sucks compared to the One Plus 12. The one plus is half the price and the same processor.,negative,positive
77,I ordered the Samsung s24 ultra titanium green .  Love the mint green colour and it looks awesome. .<br>The day later the pixel 8 pro brings one out.,positive,positive
78,I still think Samsung should make the S24 plus series a smaller version of the S24 Ultra. Same as what they did with the note 10 and note 10 plus. Keep it the same size as the plus model or slightly smaller? Couldn’t hurt,neutral,positive
79,Love the review.  I buy Samsung and I like hearing the criticisms sometimes.  Not everything you purchase or your preferences are perfect.  Personally I probably use one of the AI features on there and the rest is pointless to have because I used others google app for it anyway.  I would love Samsung to copy the &quot;Voice to Text&quot; features like the one on the pixel phone.  It is so great to use your voice to text.  All androids have it but the pixel takes it to another level.  It allows to correct mistakes without having to touch the keyboard.,positive,positive
80,I UPGRADED LOL ITS WORTH IT. I HAD A NOTE 20 5G WITH NO ISSUES BUT THE AI UPGRADES WERE THE SELLING POINTS FOR ME,positive,positive
81,I have an S20 with screen burn in and the battery life is pretty poor even with a replacement battery. I think I will either get a S24 and keep it for 3+ years or buy a used Fold 3 to hold me over until the S25.,negative,positive
82,I have to upgrade after 4 years with my 20+. And needing DEX this was the choice I made. Ain&#39;t nobody paying full price for this phone though... Like do a little research.,positive,positive
84,I think you&#39;d be a lot more beautiful in blonde or your natural hair😊,positive,positive
85,"Are you absolutely out of your mind? You would have LIKED it that the Ultra would have something exclusive? Are you crazy??? GATEKEEPING IS BAD. My god. Praise them for it. You can now choose the phone you actually WANT instead of having to worry you miss out of stuff. You want a better camera? Go with the more expensive one. Want a pen, go for the Ultra. But all of them are good enough to use ALL the features. You pay for HARDWARE this time, not software. This is a GOOD direction!",positive,positive
86,"Reviewers have not mentioned that Samsung, direct and via carrier partners, is giving $650 on the trade of an S22 Ultra, effectively bringing the cost of the phone down to $650 along with $100/$200 in credit towards accessories. If you trade an S23 Ultra they give $750.  So that cost versus feature analysis should be revisited.",positive,positive
87,"How come none of the influencers that I watch on YouTube, That review the S24, Don&#39;t mention having to pay for the AI features in 2025???",neutral,positive
88,So its basicly the s22 ultra and s23 ultra,neutral,positive
89,"People  are funny when they say 200mp is a gimmick.... what if I take a wide phot but want to zoom in on a bird, your apple 30mp will look blurry as hell",positive,negative
90,"I would like to see the compensation to the S24 ultra &amp; the I phone. But for a kicker, I would like to also see what your thoughts are on using a variable nd filter and a polarizing filter on both phones. Maybe even a pro mist filter to cut down on a lot of the sharpness from the phones.",negative,positive
91,I tried to order from Samsung but now it’s delivery date is 21 February.,neutral,neutral
92,I pre ordered a phantom black in 1 terabyte,negative,neutral
94,I like the Defender shot.  Great video - smartphones have come a really long way.  It&#39;s making me wonder why I carry an actual camera around :-),positive,positive
95,"Hi Evan! Great video yet again, loved the shots you managed to get with a phone. Would you say the s24 ultra hat better results than the Oppo find n3 fold or the iPhone 15 pro max?",positive,positive
96,"Looking to upgrade to either the iPhone 15 pro max or S24 Ultra so the comparison video would be a huge help. Side note, have you seen any drop in quality posting either photo or video to social media (being both posting edited photos and taking photos through the social media apps like the IG camera)?",positive,positive
97,"Got my S24 Ultra today and I&#39;m super disappointed with the cameras. I&#39;m coming from an Mi 11 Ultra and I thought that phone&#39;s camera was bad. But, after using the new phone, I&#39;ve changed my mind. The videos with all the lenses were noisy and soft indoors. The photos were OVERsharpened, and had a lot of noise reduction. <br><br>The RAW photos were - well RAW photos. It lacked dynamic range. I&#39;d seen much more dynamic range in RAW files from the GCAM apps. In my previous phone, I could easily use photos at 1600, 3200, etc ISO and fix them in post. But, the ones from Pro mode in S24 Ultra were really bad and I had to crank up my noise reduction to the mid. (I know I&#39;m kind of a pixel peeper)<br><br>I also tried the Expert RAW app, which supposedly gives you best RAW photos from Samsung phones. In my experience, it was the worst experience editing the RAW files. A simple bump in shadows and everything turned green. A bit of research showed me that the Expert RAW app just gives you a JPEG in a DNG file. I have no idea why Samsung chose this, but it&#39;s just a JPEG at that point. <br><br>I really liked the phonee, but imma return this.",negative,positive
98,I&#39;m still curious about the video/audio quality. As far as favorite pic - has to be one of the ones in the lower level of Ponce. The colors really popped.,positive,positive
99,Nice testing! Definitely would like to see how the ND filter works for you.,positive,positive
100,If it had vanilla android OS then I&#39;d buy it in a heart beat.  Samsung are so good at hardware but I cannot stand the software and I&#39;ve used multiple over the last 10 years.,positive,positive
101,"circle to search is kinda scary tho like what if i upload photos and they can locate the location by using that feature (cus ive seen a vid from a korean tech channel how it works not just on random things but &#39;places&#39; too),,,sorry if this is bad english,,,",negative,positive
102,"There’s no way Samsung isn’t paying Marcus for promoting their phones. Why get something else! Well my favorite YouTuber, it’s an android",positive,negative
103,General android fan: <br>I buy android because I don&#39;t want to pay the Apple tax!<br><br>proceeds to spend $1300 on a Samsung phone.,positive,positive
104,Why the instrumental is very scary 😮!!!,negative,positive
105,"No no no no no. Android had always on display well before iPhone. Just because iPhone copied and added one more thing doesn&#39;t make it an iPhone original. And Samsung did allow you to select a small picture for the aod as well so it wasn&#39;t just time and notifications. It not have been a wallpaper, but it&#39;s still a picture. So no, not &quot;also like iPhone&quot;.",positive,positive
106,did he get a million $$ to promote this?,neutral,neutral
107,512 or 1TB which one should i go for?,neutral,neutral
108,Already got the 512gb titanium grey <br>I&#39;m waiting the general S24U,positive,neutral
109,Are you not going to do a video on the vision pro then?,neutral,positive
110,Breaking news Apple Ai will be 2050  an 12 gigabytes of ram 200 megapixel,neutral,neutral
111,I honestly can&#39;t believe people still use Apple products.,positive,neutral
112,"I tested this phenomenon myself in showroom models at Mediamarkt. When you use Standard mode on the ultra  the colours are more vibrant and has higher brightness than the vivid mode in my experience. But if you compare vivid mode on the ultra and vivid on the s24+,  the plus model looks bette, vibrant and brighter. Even in 2k and full hd+. And because of this i think it is  a software thing and not something with the coating. But im not a engineer so who knows.<br> So i would suggest just use Standard mode if you have a ultra untill they fix it. Btw im from Europe so the s24+ showroom model has the exynos chip and not the snapdragon. I double checked it.",positive,positive
113,"People seem to firget the s8 and s9&#39;s infrared iris scanner, it&#39;s pretty much the same as iphone&#39;s face id but for the eyes. And really, I feel like fingerprints will always be the best option for unlocking a phone, I don&#39;t want my face in big tech&#39;s servers. Also I don&#39;t see how instagram and snapchat&#39;s poor compression should be the fault of the phone, that seems like an issue for the app developers.",positive,positive
114,"Your use to iPhone minimal operating, so you have no idea how to use a Samsung so no your not going to give it a fair shot",positive,positive
115,I&#39;m gonna wait for s25 while I hold one to my s10e I know it&#39;s old but it&#39;s still super snappy trust me I have an iPhone 12 but I prefer the s10e it feels so good in hands also it has headphone jack but no 5G,positive,positive
116,I have s22 ultra and the s24 ultra and I still prefer the curved screen 😢,neutral,neutral
117,Is it a snapdragon 8 gen 3 processor worldwide? No more exynos variant?,negative,neutral
118,The photos looked better on the S23 ULTRA to my eye.,positive,positive
119,Beautiful phone i absolutely love the new s24 ultra the ai features are really convenient i really like the titanium design much better than the iphone 15 pro max the cameras are the real deal the ai on the camera on this phone is not the best but i gets the job done hopefully ill buy one,positive,positive
120,nah curve display is good its  downgrade from flagship experience .,positive,neutral
121,You say the exact same thing on every single video 👎 👎 👎 👎,positive,negative
122,"thanks, the only concern is teh reliability of battery after 18 mths. Samsung has this bad reputation",negative,positive
123,I have no regrets upgrading from my 500 gb S23 U to my new 1TB S24 U!,positive,neutral
124,Does Samsung have iMessage yet lol or beeper mini still works ?,positive,neutral
125,"Well 1st, most people will be trading in their phones and paying less than 1300. I got my ultra for $712 before tax with trade. And all phone have reached a point where their not much else you can do to the design without taking a risk of off putting the consumer. So I think most people shouldn’t upgrade every year 2 years is the minimum and when the phone can’t do updates is ideal.",positive,positive
126,Which is best ? put on Dome glass screen protector  right out of the box to keep dust bubbles down then set up fingerprint scan or set up fingerprint scan first then put on screen protector,positive,positive
127,It pisses me off how iPhones camera is still better. $1300 phone that still oversaturates every photo,positive,positive
128,"In the fine print AI is free until 2025. If you have money to burn. Or if you&#39;re professional camera user the cost is baked <a href=""http://in.samsung/"">in.Samsung</a> to my knowledge promotion of A I features did not mention the extra cost in <a href=""http://2025.so/"">2025.So</a> you&#39;re paying extra for another subscription 🙄 as I understand Good Video 😎",positive,positive
129,"<a href=""https://www.youtube.com/watch?v=mEBbk38ENDA&amp;t=32"">0:32</a>: 📱 Samsung&#39;s Galaxy S24 Ultra introduces Galaxy AI, powered by generative AI, available across all S24 phones. Other upgrades include new processor and brighter screen.<br><a href=""https://www.youtube.com/watch?v=mEBbk38ENDA&amp;t=165"">2:45</a>: 📱 Samsung Galaxy S24 Ultra introduces innovative language translation feature in its keyboard and phone app, providing seamless communication across different languages.<br><a href=""https://www.youtube.com/watch?v=mEBbk38ENDA&amp;t=296"">4:56</a>: 📱 Innovative features of Samsung Galaxy S24 Ultra include instant slow motion, chat assist, and circle search for recipes and restaurants.<br><a href=""https://www.youtube.com/watch?v=mEBbk38ENDA&amp;t=457"">7:37</a>: 📸 Comparison of camera features and image quality between Samsung Galaxy S24 Ultra and S23 Ultra, with improved zoom and detail preservation.<br><a href=""https://www.youtube.com/watch?v=mEBbk38ENDA&amp;t=611"">10:11</a>: 📱 Samsung&#39;s latest flagship phone features a 6.8 inch screen with a 2600 nit display, and a 5000 milliamp battery for all-day usage.<br>Recapped using Tammy AI",positive,positive
130,AI is not going to be available on GS22U!,positive,negative
131,I remain content with my S22 Ultra,neutral,neutral
132,"My S24U arrives today. A lot seems to be made of the RRP but I&#39;ve never seen Samsung sell anything at RRP. We got two S24U for £1650 total after trading in two old phones and applying all the discounts. For that money, for a 7 year phone, it&#39;s a no brainer.",positive,positive
133,S24U was made for those who are using still Samsung phones 5 years and older. This will be a huge Upgrade ❤,positive,positive
134,"The trade-in deals in romania are garbage, will stick with the s23u for now.<br><br>&amp; pwm issue still not fixed.",negative,positive
135,I&#39;ll stick with my s23 ultra. There&#39;s no need to upgrade when it&#39;s plenty good.,positive,positive
136,"Im using S23U since last year June,  finally i saw S24U Yesterday at samsung store and you are very accurate the display, the S24U screen display is less vibrant dull colors compare to S23U and flat screen is a downgrade!! it feels like a cheaper old phone compare to the modern look slight curve screen S23U, so no reason to upgrade!! samsung fails on S24U",negative,positive
137,"My Note20 Ultra is still receiving security updates, so I definitely won&#39;t be getting the S24 Ultra. Maybe an S25 Ultra next year? 🤔",neutral,positive
138,I was trying to waste time. Then I found this vid. Successfully wasted. 😂,negative,negative
139,"You are a true teller, not an advertiser. That&#39;s why a subscribed",positive,positive
140,My s22 is bright enough in direct florida 🌞.,positive,negative
141,I&#39;m watching this on my 1tb titanium blue 24 ultra 😊,neutral,neutral
143,Circle to search has got to be the coolest feature of a phone the past few years...Truly nuts,negative,positive
144,"<a href=""https://www.youtube.com/watch?v=OjxljuS7wY0&amp;t=90"">1:30</a> Too bad the Gorilla Glass doesn&#39;t resist scratches as good as what they had in 2008!!! Back then you could survive occasional keys in your pocket or placed on bar top glass down without scratching.  Means you now MUST put a screen protector on -- never used to 10 years ago.  So what difference does the glare properties matter?  And the brightness needed to get thru the protectorl",positive,positive
145,Best phone I have ever owned. It makes my S22 Ultra seem like it is 10 years old. ZERO hiccups and ZERO bogs. This phone just simply flies and works flawlessly.,positive,positive
146,I upgraded from a Galaxy S9+ to a Galaxy S24+ wishing I had gotten an ultra but still love the plus!,positive,positive
147,"Samsung is just another trashy company that creates trashy phones FULL of bloatware and tracking, same with their TV&#39;s and just about everything they touch. Nevermind their freak-level monopoly on entire countries like Korea. Wish we could all collectively just stop giving these companies attention and make a statement about how backwards and trashy their devices have become. Running Graphene OS, never going back.",positive,positive
148,This device is clearly for people who Samsung wants to switch from an iPhone especially with the new AI features,positive,positive
149,"Mine just arrived today after reverting back to slabs from the z fold series. And im happier to have a great camera once again. Can&#39;t see much different to my friends s23 ultra, some AI features will see how much I use those. But so happy to say goodbye to my zfold and it&#39;s screen protector nightmare for a phone which feels premium and durable.",positive,positive
150,Temperature increase in °C<br>S23 Ultra: 23 to 40 :      17 °C <br>S24 Ultra: 19 to 43:       24 °C<br><br>SD Gen 3 seems to be having serious heating issue. Please highlight this.,negative,positive
151,"The 24 Ultra is very tempting, but I can&#39;t justify replacing my 512 gb 23 Ultra. Its a beast of a phone and ill use it probably until it dies.",negative,positive
152,"Samsung has its own ecosystem. It&#39;s as simple as downloading the Phone Link app from the Windows Store. Of course, I understand that switching right now would be crazy and very expensive, since you already own everything Apple, but saying that it is the only thing that holds you back is kinda sad.",negative,positive
153,One function I don’t recall you mentioned is you can actually make a phone call to people by punching in their phone number on the numbers key pad or look a person up in the phone’s contact list and make a phone call and using your voice to communicate with people by talking 😄.,neutral,positive
154,"The shutter lag on a smartphone is categorically NOT a &quot;big issue.&quot;  I think you are talking about the speed of the aperture. You are describing taking photos of fast action sequences. I have not used an iPhone, but I doubt it is a world better than the S24 Ultra. It is a valid point, but it&#39;s not an earthshaking issue. Also, I think there are settings either in the RAW mode or the camera app that speed up the aperture for fast action sequences. Further, if you hold the camera button down, it will take &quot;burst&quot; mode photos in a super fast sequence.<br><br>It doesn&#39;t appear that all of the S24 Ultra&#39;s AI features will be behind a paywall. We will see.",positive,positive
155,Camera Settings  &gt; Camera Assistant  and turn on Quick Tap Shutter should sort out the shutter lag for you,positive,positive
156,The shutter lag can be fixed in camera settings. There is a setting for shooting objects that move fast. As for the sound try the equalizer to your liking. You see you can set everything as you like on android and especially on UI 6.1,positive,positive
157,"They never said that the AI features will be paid after end of 2025. They just are saying free until then, and Samsung themselves confirmed they don&#39;t know what they plan on doing after that point. It was intended to give a guarantee for users in the meantime until they figure out their strategy.",positive,positive
158,Quick question for all ultra users<br><br>Does the size make it difficult for everyday use. Like putting it in your pocket and using it as a normal daily driver?,negative,positive
159,Nice review. That’s not what shutter lag is though. Slow shutter speed perhaps.,positive,positive
160,"Does anyone know if the Galaxy S24 Ultra has better speakers than the Note 20 Ultra? I have the Note 20 Ultra and listen to a lot of music with the external built-in speakers, and I don&#39;t want to upgrade if the S24 Ultra speakers are worse.... Let me know if you have owned both, please..",positive,positive
161,"Your 1 month later reviews are getting so good jeez. Cinematics, information and real life use cases is tip top. Keep it up and you&#39;ll be one of the even bigger channels no doubt about it! &quot;ultra man&quot;",positive,positive
162,I left the walled garden 10 years ago and have never looked back.  The S24 ultra is hands down the best phone on the market.,positive,positive
163,Actually you can tweak the sound of S24U at the sound and notification setting,positive,neutral
164,Try out the S23 Ultra. You&#39;ll like it.. It also has excellent speakers with rich sound and good bass.. I&#39;ve heard some interesting takes on S24 speakers this year.. Samsung got it all right with the S23&#39;s imo.. They get pretty loud and sound great. I use the base S23 and am very satisfied with the speaker quality..,positive,positive
165,"Ultraman! 😅 Loving my S24 Ultra. That Apple ecosystem is the very reason why I haven&#39;t completely gone Apple. When you go in, it really sinks deep. Genius, but expensive!",positive,positive
